iter	Passed	Remaining
399	40737	61106
400	40833	60995
401	40924	60877
402	41017	60763
403	41123	60666
404	41232	60575
405	41344	60489
406	41451	60395
407	41563	60307
408	41666	60207
409	41786	60131
410	41909	60060
411	42007	59952
412	42116	59860
413	42237	59785
414	42343	59688
415	42451	59595
416	42550	59489
417	42648	59381
418	42739	59264
419	42852	59177
420	42957	59078
421	43061	58979
422	43158	58871
423	43261	58770
424	43364	58670
425	43474	58578
426	43606	58517
427	43734	58449
428	43837	58348
429	43951	58260
430	44086	58202
431	44196	58110
432	44299	58008
433	44420	57931
434	44540	57851
435	44626	57728
436	44716	57610
437	44788	57467
438	44896	57373
439	44997	57268
440	45112	57183
441	45225	57095
442	45323	56986
443	45431	56891
444	45529	56783
445	45632	56682
446	45737	56583
447	45852	56496
448	45954	56394
449	46062	56298
450	46165	56196
451	46267	56093
452	46368	55990
453	46471	55888
454	46568	55780
455	46698	55710
456	46798	55605
457	46899	55501
458	47009	55407
459	47118	55312
460	47223	55213
461	47313	55096
462	47407	54984
463	47514	54887
464	47616	54784
465	47709	54670
466	47808	54564
467	47900	54451
468	48006	54352
469	48111	54253
470	48215	54152
471	48317	54050
472	48403	53929
473	48516	53838
474	48612	53729
475	48700	53611
476	48807	53514
477	48925	53428
478	49043	53343
479	49149	53245
480	49252	53143
481	49326	53010
482	49421	52899
483	49509	52783
484	49611	52680
485	49706	52569
486	49815	52475
487	49936	52392
488	50046	52298
489	50149	52196
490	50249	52091
491	50358	51995
492	50460	51893
493	50561	51789
494	50666	51689
495	50798	51617
496	50896	51511
497	50995	51405
498	51094	51299
499	51218	51218
500	51339	51134
501	51438	51028
502	51549	50934
503	51648	50828
504	51755	50731
505	51854	50624
506	51966	50531
507	52059	50420
508	52157	50312
509	52255	50206
510	52374	50119
511	52486	50026
512	52581	49916
513	52685	49815
514	52775	49700
515	52862	49584
516	52977	49493
517	53085	49396
518	53183	49289
519	53285	49187
520	53419	49113
521	53518	49007
522	53589	48876
523	53684	48766
524	53782	48660
525	53903	48574
526	53997	48464
527	54100	48362
528	54213	48269
529	54328	48178
530	54437	48081
