iter	Logloss
275	0.4669361072
276	0.4669200589
277	0.4668999895
278	0.4668900648
279	0.4668661908
280	0.4668420236
281	0.4668226441
282	0.4668025987
283	0.4667775035
284	0.4667650149
285	0.4667440878
286	0.4667283766
287	0.4666998232
288	0.466665927
289	0.46664724
290	0.4666321946
291	0.4666098948
292	0.466591001
293	0.4665676737
294	0.4665436964
295	0.4665222244
296	0.4664941762
297	0.4664752076
298	0.466459239
299	0.4664340029
300	0.4664235798
301	0.4664011871
302	0.4663877234
303	0.466374889
304	0.4663649266
305	0.466361902
306	0.4663417861
307	0.4663289913
308	0.466311709
309	0.4662918015
310	0.4662630186
311	0.4662342471
312	0.4662275148
313	0.4662123756
314	0.4661853712
315	0.4661751384
316	0.4661609811
317	0.466137986
318	0.4661189429
319	0.4661010133
320	0.4660873884
321	0.4660746535
322	0.4660644223
323	0.4660507672
324	0.4660230915
325	0.4660114811
326	0.4660037058
327	0.4659927689
328	0.4659658815
329	0.4659408285
330	0.4659221883
331	0.4659013381
332	0.4658716647
333	0.465846166
334	0.4658197324
335	0.4657924485
336	0.4657685449
337	0.4657520557
338	0.4657366488
339	0.465723942
340	0.4657140591
341	0.465702215
342	0.4656874611
343	0.465674093
344	0.4656520778
345	0.4656423134
346	0.4656306214
347	0.4656071433
348	0.4655970074
349	0.4655831552
350	0.4655599848
351	0.4655372414
352	0.4655217014
353	0.4655104471
354	0.4654982214
355	0.4654908957
356	0.4654765136
357	0.4654607735
358	0.4654444996
359	0.4654289753
360	0.4654051329
361	0.4653789092
362	0.4653699556
363	0.4653559583
364	0.4653426569
365	0.465324069
366	0.4653222109
367	0.46531547
368	0.4653073717
369	0.465293377
370	0.4652764236
371	0.4652657815
372	0.4652504148
373	0.465237517
374	0.4652153596
375	0.4651995651
376	0.4651907626
377	0.4651767579
378	0.465160562
379	0.4651447955
380	0.4651342156
381	0.4651177411
382	0.4651036808
383	0.4650861676
384	0.4650644752
385	0.4650514995
386	0.4650356483
387	0.4650152967
388	0.4650049668
389	0.4649858445
390	0.4649625535
391	0.464942358
392	0.4649156474
393	0.4649004724
394	0.464875885
395	0.4648634249
396	0.4648439248
397	0.4648308987
398	0.4648110744
399	0.4647949156
400	0.4647894423
401	0.4647740223
402	0.464765615
403	0.464749148
404	0.4647349045
405	0.4647252604
406	0.4647149552
407	0.4647033356
408	0.4646996111
409	0.4646899752
410	0.4646807165
411	0.4646584621
412	0.4646497336
413	0.4646320477
414	0.4646170421
415	0.4646021173
416	0.4645888653
417	0.4645801607
418	0.4645734115
419	0.4645504163
420	0.4645439767
421	0.4645363662
422	0.4645282692
423	0.4645225084
424	0.4645086426
425	0.4644906535
426	0.464485498
427	0.4644747796
428	0.4644613921
429	0.4644484843
430	0.4644397736
431	0.464416854
432	0.4644037874
433	0.4643964633
434	0.464390484
435	0.4643881835
436	0.4643772269
437	0.4643754818
438	0.4643599224
439	0.4643528219
440	0.4643448972
441	0.464326367
442	0.4643202673
443	0.4643031361
444	0.4642902243
445	0.4642799044
446	0.4642645456
447	0.4642449202
448	0.4642321072
449	0.4642200397
450	0.4642104359
451	0.4642001706
452	0.4641928831
453	0.4641782096
454	0.4641701036
455	0.4641616725
456	0.4641456559
457	0.4641369947
458	0.4641274081
459	0.4641108149
460	0.4640906158
461	0.4640867755
462	0.4640815834
463	0.4640761019
464	0.4640689905
465	0.4640595501
466	0.464049134
467	0.4640314162
468	0.4640219547
469	0.464010978
470	0.4639908371
471	0.4639740918
472	0.463954616
473	0.4639384285
474	0.4639279195
475	0.463917617
476	0.4639040538
477	0.4638984272
478	0.4638914644
479	0.4638863857
480	0.4638748054
481	0.4638710989
482	0.4638534337
483	0.4638467745
484	0.4638324158
485	0.4638179499
486	0.4638112026
487	0.4637953286
488	0.4637809367
489	0.4637647837
490	0.4637409376
491	0.4637298216
492	0.4637120171
493	0.4636994499
494	0.4636905935
495	0.4636738418
496	0.4636655921
497	0.4636573489
498	0.4636431848
499	0.4636334397
500	0.4636272308
501	0.4636179237
502	0.4636044917
503	0.4635930339
504	0.4635757413
505	0.4635570651
506	0.4635397937
507	0.463529649
508	0.463519419
509	0.4635104093
510	0.4634962085
511	0.4634783317
512	0.4634704625
513	0.4634585354
514	0.4634486421
515	0.4634404375
516	0.4634302313
517	0.4634185073
518	0.4634122212
519	0.4634026733
520	0.4633933995
521	0.4633848216
522	0.4633828629
523	0.463362434
524	0.4633550877
525	0.4633437092
526	0.4633392134
527	0.4633270339
528	0.4633239567
529	0.4633051954
530	0.4632929665
531	0.4632926232
532	0.4632852624
533	0.4632792586
534	0.4632721361
535	0.4632593431
536	0.4632541394
537	0.4632363033
538	0.4632230197
539	0.4632182471
540	0.4632055944
541	0.463195052
542	0.4631876814
543	0.4631755666
544	0.4631695747
545	0.4631598925
546	0.4631513996
547	0.4631395247
548	0.4631307893
549	0.4631262904
550	0.463113495
551	0.4631065286
552	0.4630943206
553	0.4630870933
554	0.4630769378
555	0.4630692596
556	0.4630650492
557	0.4630567162
558	0.4630483737
559	0.4630475258
560	0.4630347537
561	0.4630277772
562	0.4630222103
563	0.4630061415
564	0.4630035587
565	0.4629955035
566	0.4629775596
567	0.4629748629
568	0.4629683615
569	0.4629615207
570	0.4629502028
571	0.4629340696
572	0.462931457
573	0.4629137496
574	0.4628943046
575	0.4628876892
576	0.4628866096
577	0.4628807033
578	0.4628769119
579	0.4628694885
580	0.4628635338
581	0.4628557687
582	0.4628413158
583	0.4628340386
584	0.4628209659
585	0.4628142459
586	0.4628017734
587	0.4627956916
588	0.462781351
589	0.4627716416
590	0.4627615374
591	0.462746468
592	0.4627339799
593	0.4627192333
594	0.4626974233
595	0.4626903699
596	0.4626778552
597	0.4626694968
598	0.4626604198
599	0.4626375761
600	0.4626259933
601	0.4626137085
602	0.4626005117
603	0.4625872947
604	0.4625820707
605	0.4625738143
606	0.4625652767
607	0.4625607422
608	0.4625443001
609	0.4625316104
610	0.4625247107
611	0.4625193929
612	0.4625039433
613	0.4624931493
614	0.4624870069
615	0.4624785266
616	0.4624713644
617	0.462466065
618	0.462453193
619	0.4624374286
620	0.4624248332
621	0.4624181119
622	0.4624094489
623	0.4624034896
624	0.4623915667
625	0.4623882393
626	0.4623801454
627	0.4623726485
628	0.4623667223
629	0.4623587596
630	0.4623470052
631	0.462334725
632	0.4623202754
633	0.4623146348
634	0.462304358
635	0.4622966941
636	0.462290682
637	0.4622759167
638	0.4622730382
639	0.4622651909
640	0.4622615959
641	0.4622551595
642	0.462240213
643	0.4622295766
644	0.4622203005
645	0.4622090472
646	0.4622018498
647	0.4621994738
648	0.4621907028
649	0.4621756974
650	0.4621732618
651	0.4621594954
652	0.462149019
653	0.4621443246
654	0.4621407481
655	0.4621312028
656	0.4621267391
657	0.4621143131
658	0.4621062537
659	0.4621010236
660	0.4620903436
661	0.4620830991
662	0.4620819066
663	0.4620676149
664	0.4620610359
665	0.4620474672
666	0.4620375905
667	0.4620314757
668	0.4620275198
669	0.4620173436
670	0.462009391
671	0.4620055902
672	0.4619985093
673	0.4619878218
674	0.4619677797
675	0.4619641954
676	0.4619601712
677	0.4619577506
678	0.4619513004
679	0.4619375903
680	0.4619259404
681	0.4619242526
682	0.4619197612
683	0.4619188859
684	0.461915653
685	0.4619034631
686	0.4618882618
687	0.461876773
688	0.4618615196
689	0.461856254
690	0.4618498341
691	0.4618456049
692	0.4618449684
693	0.4618399516
694	0.4618295756
695	0.4618198557
696	0.4618187294
697	0.4618071355
698	0.4617912904
699	0.4617811156
700	0.4617803077
701	0.4617760946
702	0.4617717983
703	0.4617649946
704	0.4617548329
705	0.4617478243
706	0.4617406619
707	0.4617351459
708	0.4617304423
709	0.4617108128
710	0.4617030774
711	0.4616963346
712	0.4616889135
713	0.461686327
714	0.4616824703
715	0.4616713467
716	0.4616635584
717	0.4616537067
718	0.4616474044
719	0.4616447113
720	0.4616371977
721	0.4616293542
722	0.4616251757
723	0.4616245589
724	0.4616186688
725	0.4616036207
726	0.4615966024
727	0.4615877322
728	0.4615860085
729	0.4615817238
730	0.4615762877
731	0.4615619844
732	0.4615581752
733	0.4615490809
734	0.4615453658
735	0.4615412999
736	0.4615314338
737	0.4615190788
738	0.4615051062
739	0.4614965543
740	0.4614870323
741	0.4614755038
742	0.4614695805
743	0.4614599557
744	0.4614502838
745	0.4614381863
746	0.46142647
747	0.4614113852
748	0.4614014365
749	0.4614004227
750	0.4613914777
751	0.4613794799
752	0.4613715217
753	0.4613658287
754	0.461360775
755	0.4613466244
756	0.461338014
757	0.4613245264
758	0.4613198454
759	0.4613146024
760	0.461310835
761	0.461307862
762	0.4613002156
763	0.4612782145
764	0.4612736902
765	0.461258357
766	0.4612482541
767	0.4612464054
768	0.4612342479
769	0.4612259708
770	0.4612160041
771	0.4612130941
772	0.4612093378
773	0.4611935147
774	0.4611844569
775	0.4611803048
776	0.4611688252
777	0.4611679242
778	0.461160884
779	0.4611555402
780	0.4611455725
781	0.4611454637
782	0.4611342704
783	0.4611340413
784	0.4611210872
785	0.4611072865
786	0.4610989894
787	0.4610975495
788	0.4610943099
789	0.4610930593
790	0.4610885354
791	0.4610825038
792	0.4610759926
793	0.4610696538
794	0.4610582145
795	0.4610476776
796	0.461038085
797	0.4610321691
798	0.4610264394
799	0.4610142222
800	0.4610068173
801	0.4610020638
802	0.460999813
803	0.4609901018
804	0.4609779291
805	0.4609706747
806	0.4609586528
807	0.4609520102
808	0.4609484531
809	0.4609345961
810	0.4609202005
811	0.4609148689
812	0.4609070275
813	0.4609004022
814	0.4608959259
815	0.4608859688
816	0.4608824014
817	0.4608790199
818	0.4608695136
819	0.460864579
820	0.4608567753
821	0.4608485345
822	0.4608462374
823	0.4608359443
824	0.4608327355
825	0.4608289863
826	0.4608212576
827	0.4608167283
828	0.4608053239
829	0.4607982514
830	0.4607905824
831	0.4607828456
832	0.4607736175
833	0.4607696201
834	0.4607655713
835	0.46075391
836	0.460750088
837	0.4607470943
838	0.4607375103
839	0.4607323885
840	0.4607238766
841	0.4607171793
842	0.460716124
843	0.4607096584
844	0.4607028901
845	0.4606870794
846	0.4606775267
847	0.4606687302
848	0.4606573829
849	0.4606523876
850	0.4606452818
851	0.4606361134
852	0.4606260747
853	0.4606049885
854	0.4605988915
855	0.4605853738
856	0.460575281
857	0.4605731663
858	0.460562322
859	0.4605566768
860	0.4605518498
861	0.460545342
862	0.4605440149
863	0.4605244475
864	0.4605190738
865	0.4605169313
866	0.4605039097
867	0.4604894289
868	0.4604828417
869	0.4604768253
870	0.4604738301
871	0.4604639887
872	0.4604596397
873	0.4604537785
874	0.4604500536
875	0.4604495763
876	0.460441838
877	0.4604284492
878	0.4604190633
879	0.4604188535
880	0.4604065537
881	0.4604031365
882	0.4604005894
883	0.4603944448
884	0.4603845485
885	0.460374786
886	0.4603649286
887	0.4603569426
888	0.4603414744
889	0.4603313103
890	0.4603279261
891	0.460324298
892	0.4603220528
893	0.4603193276
894	0.4603162865
895	0.4603052803
896	0.4602946676
897	0.4602891857
898	0.4602794103
899	0.4602676957
900	0.4602648356
901	0.4602596013
902	0.4602571114
903	0.4602472941
904	0.460244748
905	0.4602414372
906	0.4602353533
907	0.4602290777
908	0.4602263076
909	0.4602261951
910	0.4602148136
911	0.4602121739
912	0.4601989331
913	0.4601846597
914	0.4601782272
915	0.4601719275
916	0.4601714371
917	0.4601677974
918	0.460160444
919	0.4601500244
920	0.4601395934
921	0.4601350847
922	0.4601173455
923	0.4601118058
924	0.4601035671
925	0.4600928121
926	0.4600840905
927	0.4600795532
928	0.4600708095
929	0.4600629344
930	0.4600540456
931	0.4600500719
932	0.4600443293
933	0.4600328309
934	0.4600275928
935	0.4600126693
936	0.4600063056
937	0.4600014458
938	0.459994651
939	0.4599816889
940	0.4599723704
941	0.4599672672
942	0.459962656
943	0.45995929
944	0.459953391
945	0.4599436358
946	0.459937473
947	0.4599202028
948	0.4599170595
949	0.4599082751
950	0.4599027404
951	0.4598961171
952	0.4598876388
953	0.4598759607
954	0.4598676623
955	0.4598602653
956	0.4598587848
957	0.4598453696
958	0.4598299773
959	0.459814081
960	0.4598073394
961	0.4598041878
962	0.4598010267
963	0.4597923693
964	0.459779007
965	0.4597746233
966	0.4597714163
967	0.459762171
968	0.4597540913
969	0.4597461489
970	0.459743813
971	0.4597386989
972	0.4597218754
973	0.459721741
974	0.4597097423
975	0.4597005844
976	0.459690827
977	0.4596898416
978	0.4596866203
979	0.4596811142
980	0.4596700279
981	0.4596624178
982	0.4596541973
983	0.4596481295
984	0.4596391634
985	0.4596220087
986	0.4596187902
987	0.4596146868
988	0.4596056134
989	0.4596017643
990	0.4595950871
991	0.459572434
992	0.4595632145
993	0.4595565666
994	0.4595484703
995	0.4595389855
996	0.459529318
997	0.4595179981
998	0.4595158148
999	0.4595086764
